[CH3]C(=O)[NH][CH2][CH2][NH]C(=O)[CH3]  CC(=O)NCCNC(C)=O  ABAWEG01
[CH2]([CH2][CH2]n1n[cH]nn1)[CH2]n1[cH]nc(n1)c1[cH][cH][cH][cH]n1  C(CCN1N=CN=N1)CN1C=NC(=N1)c1ccccn1  DOKQAW
[CH2]([CH2][CH2]n1[cH]nnn1)[CH2]n1[cH][cH]nn1  C(CCN1C=NN=N1)CN1C=CN=N1  DOKQIE
[OH][NH]C(=O)c1[cH][cH][cH]c(n1)C(=O)[NH][OH]  ONC(=O)c1cccc(n1)C(=O)NO  DOMQUS
[CH3]C(=O)[NH]c1[cH][cH][cH]c([NH]C(=O)[CH3])n1  CC(=O)Nc1cccc(NC(C)=O)n1  DOPDAN01
[CH3]Oc1[cH][cH][cH]c([CH]=[CH][CH]2O[CH]([CH3])[CH]([OH])[CH]2[OH])c1[CH2][OH]  COc1cccc(C=CC2OC(C)C(O)C2O)c1CO  DORKAX
[CH3]C1([CH3])[CH2][CH2][CH]([CH]2[CH2][CH2]C([CH3])([CH3])[CH2]C2=O)C(=O)[CH2]1  CC1(C)CCC(C2CCC(C)(C)CC2=O)C(=O)C1  DOSCUK
[CH3]C1([CH3])[CH2][CH]([CH]2[CH2][CH2][CH2][CH2]C2=O)C(=O)[CH]=[CH]1  CC1(C)CC(C2CCCCC2=O)C(=O)C=C1  DOSDEV
[N]=[N]=C(c1[cH][cH]c([cH][cH]1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH]c1[CH]1O[CH2][CH2]O1  [N]=N=C(c1ccc(cc1)c1ccccc1)c1ccccc1C1OCCO1  DOYLEJ
[CH2]1[CH2][CH]=C2[CH2][CH2]N([CH2]c3[cH][cH][cH][cH][cH]3)[CH]2[CH2]1  C1CC=C2CCN(Cc3ccccc3)C2C1  DOYNIP
[CH3][CH2][CH2][CH3]  CCCC  DUCKOB04
[CH3]C(=O)Oc1[cH][cH]c([cH][cH]1)[CH]=[CH]c1[cH][cH]c(OC(=O)[CH3])[cH][cH]1  CC(=O)Oc1ccc(cc1)C=Cc1ccc(OC(C)=O)cc1  DUDFIS
[CH3]c1[cH][cH]c([NH][CH2]C(=O)[NH][NH2])[cH][cH]1  Cc1ccc(NCC(=O)NN)cc1  DUDGIT
[CH2]1[CH2]O1  C1CO1  DUFBOV11
[OH]C(=O)c1[cH][cH][cH]c2[CH2][CH2][CH2][CH2]c12  OC(=O)c1cccc2CCCCc12  DUJKUP
[CH3][CH2]OC(=O)C(=NO[CH3])C(=O)c1[cH][cH]c([cH][cH]1)N(=O)=O  CCOC(=O)C(=NOC)C(=O)c1ccc(cc1)N(=O)=O  DUNQOT
[NH2]c1[cH][cH]c([cH][cH]1)C(=O)O[CH2][CH2][CH2]OC(=O)c1[cH][cH]c([NH2])[cH][cH]1  Nc1ccc(cc1)C(=O)OCCCOC(=O)c1ccc(N)cc1  DUSLIN
[CH3]Oc1[cH][cH]c([CH]=[CH]C(=O)c2[cH][cH]c([cH][cH]2)N2[CH2][CH2][CH2][CH2][CH2]2)[cH][cH]1  COc1ccc(C=CC(=O)c2ccc(cc2)N2CCCCC2)cc1  DUSWAQ
[CH3]Oc1[cH]c(O[CH3])c([CH]=Nc2c([CH3])c(no2)[CH3])[cH]c1O[CH3]  COc1cc(OC)c(C=NC2=C(C)C(=NO2)C)cc1OC  DUTBAW
[CH3]c1[cH]c(=O)n2c(nc(nc2n1)[CH3])[NH2]  CC1=CC(=O)N2C(=NC(=NC2=N1)C)N  DUTHEG
[CH2]1[CH2]c2[cH][cH]c([CH2][CH2]c3[cH][cH]c1[cH][cH]3)[cH][cH]2  C1Cc2ccc(CCc3ccc1cc3)cc2  DXYLEN13
O=C(ON1C(=O)[CH2][CH2]C1=O)[CH]=[N+]=[N-]  O=C(ON1C(=O)CCC1=O)C=[N+]=[N-]  EABXIO01
[CH3][CH2]OC(=O)[CH]1[CH2]C2([CH2]O[CH](N2C1=O)C([CH3])([CH3])[CH3])C(=O)O[CH3]  CCOC(=O)C1CC2(COC(N2C1=O)C(C)(C)C)C(=O)OC  ECUKAO
[CH3]C1([CH3])O[CH]2O[CH]3[CH]4[CH2][CH2]C4([CH3])[CH2]C3(O[CH2]c3[cH][cH][cH][cH][cH]3)[CH]2O1  CC1(C)OC2OC3C4CCC4(C)CC3(OCc3ccccc3)C2O1  EDUKAP
[CH3]OC(=O)C1([CH2]C(=[CH2])[CH]2[CH]3[CH2][CH2][CH]([CH2][CH2]O3)[CH]12)C(=O)O[CH3]  COC(=O)C1(CC(=C)C2C3CCC(CCO3)C12)C(=O)OC  EFEQIQ
[CH3]OC(=O)[CH]1[CH]2[CH2][CH]([CH]=[CH]2)N1[OH]  COC(=O)C1C2CC(C=C2)N1O  EGAFEY
[CH3][CH2][CH]1[CH]([OH])[CH2][CH]2[CH2][CH2]N3[CH]2[CH]1[CH2][CH2][CH2]C3=O  CCC1C(O)CC2CCN3C2C1CCCC3=O  EGAMUV
[CH3]C(=[CH2])[CH]1[CH2][CH]=C2[CH]([OH])[CH]([CH2]C3([CH3])[CH2]C(=O)[CH]([CH2]C(=O)[CH2]1)O3)OC2=O  CC(=C)C1CC=C2C(O)C(CC3(C)CC(=O)C(CC(=O)C1)O3)OC2=O  EHMVCT01
[CH3][CH]([NH]C(=O)c1[cH][cH][cH][cH]n1)C(=O)[OH]  CC(NC(=O)c1ccccn1)C(O)=O  EJEXAT
[CH3][CH2][NH]C(=O)[NH]C(=O)[CH2][CH2][CH]([CH3])[CH3]  CCNC(=O)NC(=O)CCC(C)C  EKAXOD
[CH3][CH2][CH2][NH]C(=O)[NH]C(=O)[CH2][CH2][CH]([CH3])[CH3]  CCCNC(=O)NC(=O)CCC(C)C  EKECAY
[CH3]n1c([cH]c(c(C#N)c1=O)[CH3])[CH3]  CN1C(=CC(=C(C#N)C1=O)C)C  ELOJEV
[CH3]c1nn([CH2]c2[cH][cH]c3[cH]c([CH2]n4nc([CH3])[cH]c4[CH3])[cH][cH]c3[cH]2)c([cH]1)[CH3]  CC1=NN(Cc2ccc3cc(CN4N=C(C)C=C4C)ccc3c2)C(=C1)C  EMACUR
[CH3]Oc1[cH][cH]c2Oc3[cH]c([CH3])[cH]c([CH3])c3[CH2]c2[cH]1  COc1ccc2Oc3cc(C)cc(C)c3Cc2c1  EMOBOY
[CH3]Oc1[cH][cH]c(c([CH]=O)c1O[CH2]c1[cH][cH][cH][cH][cH]1)N(=O)=O  COc1ccc(c(C=O)c1OCc1ccccc1)N(=O)=O  EMOPIG
[CH3]N1[CH2]C(=[CH]c2[cH][cH][cH]n[cH]2)C(=O)C(=[CH]c2[cH][cH][cH]n[cH]2)[CH2]1  CN1CC(=Cc2cccnc2)C(=O)C(C1)=Cc1cccnc1  EMOROO
[NH2]c1[cH][cH]c([cH][cH]1)[CH]1[CH2]O[CH2]1  Nc1ccc(cc1)C1COC1  EMUDEW
[NH2]c1[cH][cH]c([CH2][CH2]c2[cH][cH]c([OH])[cH][cH]2)[cH][cH]1  Nc1ccc(CCc2ccc(O)cc2)cc1  ENALUA
[CH3]OC(=O)c1c([NH2])c(C#N)c2c([CH2][CH2]c3c2[nH]c2c([CH3])[cH][cH][cH]c32)c1C(=O)O[CH3]  COC(=O)c1c(N)c(C#N)c2c(CCC3=C2Nc2c(C)cccc32)c1C(=O)OC  ENIHAL
[OH][CH]1[CH](O[CH2]C#[CH])O[CH]2[CH]1OC(=O)[CH]2OC(=O)c1[cH][cH][cH][cH][cH]1  OC1C(OCC#C)OC2C1OC(=O)C2OC(=O)c1ccccc1  ENIJIV
[CH3][NH]C(=O)[CH]1c2[cH][cH][cH][cH]c2C(=O)OC1([CH3])[CH3]  CNC(=O)C1c2ccccc2C(=O)OC1(C)C  EPOMAY
[CH3][CH2]OC(=O)C1([CH2][OH])ON=C([CH2][CH3])[CH]1c1[cH][cH][cH][cH][cH]1  CCOC(=O)C1(CO)ON=C(CC)C1c1ccccc1  EPOVEL
[CH3]N([CH]=O)c1[cH]c([cH]c(c1[OH])C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3]  CN(C=O)c1cc(cc(c1O)C(C)(C)C)C(C)(C)C  ESEHAM
[CH3]c1[cH][cH]c([CH3])c([CH2][CH]2[CH2]C3([CH3])[CH2][CH2][CH2]C2([OH])O3)[cH]1  Cc1ccc(C)c(CC2CC3(C)CCCC2(O)O3)c1  ESUHAC
[CH3]OC(=O)C1([CH2]C(=O)c2c([OH])[cH][cH][cH]c2O1)[CH]1OC(=O)[CH]=[CH]1  COC(=O)C1(CC(=O)c2c(O)cccc2O1)C1OC(=O)C=C1  ETADOT
[OH][CH2]c1[cH]n(nn1)c1[cH][cH]c([cH][cH]1)C(=O)[OH]  OCC1=CN(N=N1)c1ccc(cc1)C(O)=O  EVATUR
[CH3]Oc1[cH]c([cH][cH]c1O[CH2]C#[CH])[CH]=NN=[CH]c1[cH][cH]c(O[CH2]C#[CH])c(O[CH3])[cH]1  COc1cc(ccc1OCC#C)C=NN=Cc1ccc(OCC#C)c(OC)c1  EVAVAZ
O=C1n2[cH][cH]nc2C(=O)c2[cH][cH][cH][cH]c12  O=C1N2C=CN=C2C(=O)c2ccccc12  EVAWEE
[CH3][CH]1[CH2][NH]C(=O)[CH2][NH]C(=O)[CH]([CH3])[NH]C(=O)[CH2][CH]([CH3])O1  CC1CNC(=O)CNC(=O)C(C)NC(=O)CC(C)O1  EVEDEO
O=C([CH]=[CH]c1[cH]n(nc1c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  O=C(C=CC1=CN(N=C1c1ccccc1)c1ccccc1)c1ccccc1  EVEKUM
N#CC1([CH2][CH2][CH2][CH2][CH2]1)C#N  N#CC1(CCCCC1)C#N  EVEVAD
[NH2]C(=O)[CH2][NH]C(=O)[CH]=[CH2]  NC(=O)CNC(=O)C=C  EVOGOM
O=N(=O)c1[cH][cH]c([cH][cH]1)[N]#[C]  O=N(=O)c1ccc(cc1)N#[C]  EVOSAJ
[OH][CH]1C(=O)[CH2][CH]2c3[cH][cH][cH][cH]c3C1([CH2][CH]=[CH2])c1[cH][cH][cH][cH]c21  OC1C(=O)CC2c3ccccc3C1(CC=C)c1ccccc21  EXILON
[cH]1[cH][cH]c2c([cH]1)[cH][cH][cH]c2c1[cH][cH][cH]c2[cH][cH][cH]nc12  c1ccc2c(c1)cccc2c1cccc2cccnc12  EXISEK
[CH3]C1([CH2]C(=O)C2([OH])C(=[CH]1)[CH]([OH])[CH]1OC(=O)C3([CH3])[CH2][CH2][CH]4[CH2]C24[CH]13)[CH]=[CH2]  CC1(CC(=O)C2(O)C(=C1)C(O)C1OC(=O)C3(C)CCC4CC24C13)C=C  EYOGEF
[CH3][CH2][CH]([CH3])[CH]1N(O[CH2]c2[cH][cH][cH][cH][cH]2)C(=O)[CH]([CH]([CH3])[CH2][CH3])N(O[CH2]c2[cH][cH][cH][cH][cH]2)C1=O  CCC(C)C1N(OCc2ccccc2)C(=O)C(C(C)CC)N(OCc2ccccc2)C1=O  EYOLAG
[CH3]OC(=O)C12[CH2][CH]([CH]=[CH2])[CH]([NH2])[CH]1c1[cH][cH][cH][cH]c1[NH]C2=O  COC(=O)C12CC(C=C)C(N)C1c1ccccc1NC2=O  EZAZEL
[CH3][CH]([NH]C(=O)[CH2]Oc1[cH][cH][cH]c2[cH][cH][cH][cH]c12)C(=O)[NH][CH2]C(=O)[OH]  CC(NC(=O)COc1cccc2ccccc12)C(=O)NCC(O)=O  FACLIG
[CH3]C([CH3])([CH3])C1=[CH]C(=C2[CH]=C(C(=O)C(=[CH]2)C([CH3])([CH3])[CH3])C([CH3])([CH3])[CH3])[CH]=C(C1=O)C([CH3])([CH3])[CH3]  CC(C)(C)C1=CC(C=C(C1=O)C(C)(C)C)=C1C=C(C(=O)C(=C1)C(C)(C)C)C(C)(C)C  FADDOD03
[CH3][NH]C(=O)C(=[CH][CH3])[NH]C(=O)[CH3]  CNC(=O)C(NC(C)=O)=CC  FADWEO
[OH]C(=O)[CH]1[CH2]C21[CH2]C12[CH2]C21[CH2][CH2]2  OC(=O)C1CC21CC12CC21CC2  FAFDEW
[OH][CH]1[CH]([CH2][CH2][CH2]C1=[CH]c1[cH][cH][cH][cH][cH]1)[CH2]N1[CH2][CH2]O[CH2][CH2]1  OC1C(CCCC1=Cc1ccccc1)CN1CCOCC1  FALSAN
O=C1[CH2][CH2]C23[CH2][CH2][CH2]N2C(=O)[CH2][CH2][CH2][CH]3[CH2]1  O=C1CCC23CCCN2C(=O)CCCC3C1  FARJAK
[NH3+][CH]([CH2]c1[cH][cH]c([OH])[cH][cH]1)C(=O)[O-]  [NH3+]C(Cc1ccc(O)cc1)C(=O)[O-]  FAZHET01
[CH3][CH]1[CH2][CH]2[CH]([CH]3[CH]=[CH][CH2][CH]4[CH2][CH2][CH]([OH])C14C3=O)C2([CH3])[CH3]  CC1CC2C(C3C=CCC4CCC(O)C14C3=O)C2(C)C  FEJCIH
[CH3]Oc1[cH][cH]c([NH][CH]=O)[cH][cH]1  COc1ccc(NC=O)cc1  FELVIC01
[CH3]Oc1c(n[cH]n1[CH3])N(=O)=O  COC1=C(N=CN1C)N(=O)=O  FICDOK01
[CH3][CH]1[CH2][CH2][CH2]C2([CH3])[CH2][CH]3OC(=O)C(=[CH2])[CH]3[CH]3OC123  CC1CCCC2(C)CC3OC(=O)C(=C)C3C3OC123  FIFQIU01
[CH3][CH2][CH2]c1[cH]c2[cH][cH][cH]nc2[nH]1  CCCC1=Cc2cccnc2N1  FIXMUV
O=C1N([CH2]c2[cH][cH][cH][cH][cH]2)C(=O)c2[cH][cH][cH][cH]c12  O=C1N(Cc2ccccc2)C(=O)c2ccccc12  FOLBUE01
[OH]C(=O)c1[cH][cH][cH]o1  OC(=O)C1=CC=CO1  FRANAC04
[CH3]C([CH3])(O[OH])c1[cH][cH]n[cH][cH]1  CC(C)(OO)c1ccncc1  FUBWAB
[CH3]C1([CH3])O[CH]2O[CH]([CH]([OH])[CH]2O1)C(=O)[CH]1[CH2][CH]2[CH2][CH]1[CH]=[CH]2  CC1(C)OC2OC(C(O)C2O1)C(=O)C1CC2CC1C=C2  FUBZAE
N#C[CH2]c1[cH][cH][cH][cH]c1[CH2]C#N  N#CCc1ccccc1CC#N  FUGWOU
[CH3][CH2]OC(=O)[CH](n1nc([CH3])[cH]c1[CH3])n1nc([CH3])[cH]c1[CH3]  CCOC(=O)C(N1N=C(C)C=C1C)N1N=C(C)C=C1C  FUHZAK
[CH3]c1n[cH][cH][nH]1  CC1=NC=CN1  FULPIM
[OH][CH]1[CH2][CH2][CH2][CH2]c2[cH][cH]c(Oc3[cH]c([CH2][CH2]1)[cH][cH]c3[OH])[cH][cH]2  OC1CCCCc2ccc(Oc3cc(CC1)ccc3O)cc2  FUMFUP
[CH3][CH](C(=O)c1[cH][cH]c(O[CH2]c2[cH][cH][cH][cH][cH]2)[cH][cH]1)c1[cH][cH][cH][cH][cH]1  CC(C(=O)c1ccc(OCc2ccccc2)cc1)c1ccccc1  FUNZAQ
[CH3]Oc1[cH]c([CH2][CH]=[CH][CH2]c2[cH]c(O[CH3])c([OH])c([CH]=O)[cH]2)[cH]c([CH]=O)c1[OH]  COc1cc(CC=CCc2cc(OC)c(O)c(C=O)c2)cc(C=O)c1O  FUPTOA
[OH]c1c([CH2][CH]=[CH][CH2]c2[cH][cH][cH]c([CH]=O)c2[OH])[cH][cH][cH]c1[CH]=O  Oc1c(CC=CCc2cccc(C=O)c2O)cccc1C=O  FUPTUG
[CH3][CH]([CH3])[CH2]Oc1[cH][cH][cH]c([NH]c2[cH][cH][cH][cH]n2)[cH]1  CC(C)COc1cccc(Nc2ccccn2)c1  FUTCED
O=C([NH]c1[cH][cH][cH][cH][cH]1)[NH]c1[cH][cH]c([cH][cH]1)N(=O)=O  O=C(Nc1ccccc1)Nc1ccc(cc1)N(=O)=O  FUWJAJ
[CH3][CH]([NH]c1[cH][cH]c([cH]n1)N(=O)=O)c1[cH][cH][cH][cH][cH]1  CC(Nc1ccc(cn1)N(=O)=O)c1ccccc1  FUXZIH01
O1[CH]=[CH][CH]2[CH]1O[CH]1O[CH]3O[CH]=[CH][CH]3[CH]21  O1C=CC2C1OC1OC3OC=CC3C21  GACGEY
[CH3]C1([CH2]OC(=O)C21OC(=[CH]C2=O)c1[cH][cH][cH][cH][cH]1)[CH]=[CH2]  CC1(COC(=O)C21OC(=CC2=O)c1ccccc1)C=C  GAKPUE
[CH3][CH2]Oc1[cH][cH]c([cH][cH]1)N(=O)=O  CCOc1ccc(cc1)N(=O)=O  GAKQEP
[CH3]c1[cH][cH]c2N=C3N([CH2][CH2]C3([OH])C(=O)c2[cH]1)c1[cH][cH][cH][cH][cH]1  Cc1ccc2N=C3N(CCC3(O)C(=O)c2c1)c1ccccc1  GANSUK
[CH2]1[CH2][CH2]c2c([CH2]1)nc([cH]c2c1n[cH][cH][cH]n1)c1[cH][cH][cH][cH][cH]1  C1CCc2c(C1)nc(cc2c1ncccn1)c1ccccc1  GANVOH
O=C1[CH2]c2c1c1C(=O)[CH2]c1c1c(=O)c(=O)c21  O=C1Cc2c1c1C(=O)Cc1c1C(=O)C(=O)c21  GEFBAV
[cH]1[cH][cH]c([cH][cH]1)c1c2[cH][cH][cH]c3c4[cH][cH][cH][cH]c4c(c23)c2c(c3[cH][cH][cH][cH][cH]3)c3[cH][cH][cH]c4c5[cH][cH][cH][cH]c5c(c34)c12  c1ccc(cc1)c1c2cccc3c4ccccc4c(c23)c2c(c3ccccc3)c3cccc4c5ccccc5c(c34)c12  GEGQUF
[CH3]c1[cH]n([CH2]C(=O)[NH2])c(=O)[nH]c1=O  CC1=CN(CC(N)=O)C(=O)NC1=O  GEHVOF
[OH]C(=O)c1[cH][cH]c2[CH2][CH2]C(=O)c2[cH]1  OC(=O)c1ccc2CCC(=O)c2c1  GEJCUU
[CH3]C(=O)[CH]([CH2]c1[cH][cH]c([CH2][CH](C(=O)[CH3])C(=O)[CH3])[cH][cH]1)C(=O)[CH3]  CC(=O)C(Cc1ccc(CC(C(C)=O)C(C)=O)cc1)C(C)=O  GEJDAB01
[CH3]C(=O)[CH2][CH2][CH]1C(=O)[CH]=C2C([CH3])([CH3])[CH2][CH2][CH2]C12[CH3]  CC(=O)CCC1C(=O)C=C2C(C)(C)CCCC12C  GEKDAC
O=C1O[CH2][CH2][CH2]OC(=O)c2[cH][cH]c([cH][cH]2)C(=O)O[CH2][CH2][CH2]OC(=O)c2[cH][cH]c1[cH][cH]2  O=C1OCCCOC(=O)c2ccc(cc2)C(=O)OCCCOC(=O)c2ccc1cc2  GILGAK
[CH3]n1c2n[cH]c([CH3])[cH]c2c(c1c1[cH][cH][cH][cH][cH]1)[CH2]C([CH3])([CH3])[CH3]  CN1c2ncc(C)cc2C(=C1c1ccccc1)CC(C)(C)C  GILXUV
[CH2]([CH2][CH2]N([CH2]c1[cH][cH][cH][cH]n1)[CH2]c1[cH][cH][cH][cH]n1)[CH2]N([CH2]c1[cH][cH][cH][cH]n1)[CH2]c1[cH][cH][cH][cH]n1  C(CCN(Cc1ccccn1)Cc1ccccn1)CN(Cc1ccccn1)Cc1ccccn1  GIMTEC
[CH3]C(=O)c1[cH][cH]c([OH])[cH]c1[OH]  CC(=O)c1ccc(O)cc1O  GINCAI01
[CH3]c1[cH]c(nc([NH2])n1)c1[cH][cH]n[cH][cH]1  Cc1cc(nc(N)n1)c1ccncc1  GIRNOL
[NH2]c1[cH][cH]c([cH]n1)C#Cc1[cH][cH][cH]n[cH]1  Nc1ccc(cn1)C#Cc1cccnc1  GIRPED
O=C([NH]c1[cH][cH][cH][cH][cH]1)Oc1[cH][cH]c([cH][cH]1)N(=O)=O  O=C(Nc1ccccc1)Oc1ccc(cc1)N(=O)=O  GISTAE
[OH][CH2][CH]1O[CH]([OH])[CH]([OH])[CH]([OH])[CH]1[OH]  OCC1OC(O)C(O)C(O)C1O  GLUCSE02
[NH3+][CH2]C(=O)[O-]  [NH3+]CC(=O)[O-]  GLYCIN69
[NH3+][CH2]C(=O)[NH][CH2]C(=O)[O-]  [NH3+]CC(=O)NCC(=O)[O-]  GLYGLY19
[CH3]c1[cH][cH]c(Oc2[cH]nc3[cH][cH][cH][cH]c3n2)[cH][cH]1  Cc1ccc(Oc2cnc3ccccc3n2)cc1  GOFVON
[N-]=[N+]=Nc1[cH][cH][cH][cH]c1c1[cH][cH][cH][cH][cH]1  [N-]=[N+]=Nc1ccccc1c1ccccc1  GOVZUM01
[CH3]Oc1[cH][cH][cH]c2[CH]([OH])[CH2]C(=[CH2])c12  COc1cccc2C(O)CC(=C)c12  GUCJUK
[CH3][CH]1[CH2][CH]([OH])[CH](N(=O)=O)C([OH])([CH]1C(=O)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  CC1CC(O)C(N(=O)=O)C(O)(C1C(=O)c1ccccc1)c1ccccc1  GUCNIC
[CH3]OC(=O)C(=C(C(=O)O[CH3])[C-]1C(=O)[CH2]OC1=O)[n+]1[cH][cH][cH][cH][cH]1  COC(=O)C([n+]1ccccc1)=C(C(=O)OC)[C-]1C(=O)COC1=O  GUGJUO
[CH3][CH2]OC(=O)[CH2]c1nnnn1[CH2][CH2][NH]C(=O)OC([CH3])([CH3])[CH3]  CCOC(=O)CC1=NN=NN1CCNC(=O)OC(C)(C)C  GUGKAV
[CH3]OC(=O)[CH]1[CH](C(=O)O[CH3])C21C(=O)[CH2]C([CH3])([CH3])[CH2]C2=O  COC(=O)C1C(C(=O)OC)C21C(=O)CC(C)(C)CC2=O  GUHCUI
[cH]1nc2[cH][cH]c3c4[cH][cH]c5n[cH]nc6[cH][cH]c(c7[cH][cH]c(n1)c2c37)c4c56  c1nc2ccc3c4ccc5ncnc6ccc(c7ccc(n1)c2c37)c4c56  GUSKEL
[CH3]OC(=O)C1([CH2][CH]2[CH]([CH2]1)C(=C([CH3])[CH]2c1[cH][cH][cH][cH][cH]1)[CH3])C(=O)O[CH3]  COC(=O)C1(CC2C(C1)C(=C(C)C2c1ccccc1)C)C(=O)OC  GUVNOB
[CH3]O[CH2][CH2][CH2]n1c(=O)c2[cH][cH][cH]c3[cH][cH][cH]c(c1=O)c23  COCCCN1C(=O)c2cccc3cccc(C1=O)c23  GUWDUX
O=C([CH]1[CH]2[CH2][CH2][CH]1C2(c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH]n1)c1[cH][cH][cH][cH][cH]1  O=C(C1C2CCC1C2(c1ccccc1)c1ccccn1)c1ccccc1  HADLOO
[CH3]OC(=O)C1=C(C(=O)O[CH3])C2(c3[cH][cH][cH][cH][cH]3)c3[cH][cH][cH][cH]c3[CH]1c1[cH][cH][cH][cH]c21  COC(=O)C1=C(C(=O)OC)C2(c3ccccc3)c3ccccc3C1c1ccccc21  HADMAA01
[CH3]Oc1[cH][cH]c([OH])c([CH]=Nc2c([CH3])n([CH3])n(c2=O)c2[cH][cH][cH][cH][cH]2)[cH]1  COc1ccc(O)c(C=NC2=C(C)N(C)N(C2=O)c2ccccc2)c1  HAHTAN
[CH3]c1[cH]c([CH3])c2[cH][cH]c3c([CH3])[cH]c([CH3])c4[cH][cH]c1c2c34  Cc1cc(C)c2ccc3c(C)cc(C)c4ccc1c2c34  HAJJOT
[cH]1[cH]n2n[cH]nc2n[cH]1  C1=CN2N=CN=C2N=C1  HAMGOT
O=C([NH][CH]1[CH2][CH2][CH2][CH2][CH2]1)c1[cH]c2[cH][cH][cH][cH]c2oc1=O  O=C(NC1CCCCC1)C1=Cc2ccccc2OC1=O  HAMVEX
[CH3]c1[cH]c([OH])c2c([OH])c(C(=O)[CH3])c([CH3])[cH]c2[cH]1  Cc1cc(O)c2c(O)c(C(C)=O)c(C)cc2c1  HEKWAV01
[CH3][CH2][CH2][CH2][NH]c1[cH]c([cH]c([CH3])[n+]1[O-])N(=O)=O  CCCCNc1cc(cc(C)[n+]1[O-])N(=O)=O  HENCEJ
[CH3][CH2][CH2][CH2][CH2][CH2][CH3]  CCCCCCC  HEPTAN02
[CH3]C1([CH3])[CH2]OC(=N1)c1[cH][cH][cH][cH]c1N=C(c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH]c1[OH]  CC1(C)COC(=N1)c1ccccc1N=C(c1ccccc1)c1ccccc1O  HERMAT
[CH3][CH]([OH])[CH2]N1[CH2][CH2][NH][CH2][CH2]N([CH2][CH2]N([CH2][CH2]1)[CH2][CH]([CH3])[OH])[CH2][CH]([CH3])[OH]  CC(O)CN1CCNCCN(CCN(CC1)CC(C)O)CC(C)O  HESKUM
[OH]C12[CH2][CH2][CH2][CH2]C1([CH2][CH2]C#N)[CH2][CH2]C(=O)[CH2]2  OC12CCCCC1(CCC#N)CCC(=O)C2  HEWSIM
[CH3][CH2][CH2][CH2][CH2][CH3]  CCCCCC  HEXANE01
[CH3]OC(=O)C(=[CH]c1[cH][cH]c([CH3])[cH][cH]1)C#N  COC(=O)C(=Cc1ccc(C)cc1)C#N  HEXXEO
O=C([NH][CH2][CH2][CH2][CH2][CH2]C#N)[NH][CH2][CH2][CH2][CH2][CH2]C#N  O=C(NCCCCCC#N)NCCCCCC#N  HEZSUA
[CH3]C1([CH3])[CH2][CH]2OC2([CH3])[CH2][CH2][CH]2OC2([CH3])[CH]([OH])[CH]2O[CH]12  CC1(C)CC2OC2(C)CCC2OC2(C)C(O)C2OC12  HIBBOK
[CH3]c1[cH][cH]c([cH][cH]1)[CH]=C1[CH]=[CH]c2[cH][cH][cH][cH]c12  Cc1ccc(cc1)C=C1C=Cc2ccccc12  HIHBAC
O=c1oc2[cH][cH][cH][cH]c2o1  O=C1Oc2ccccc2O1  HIRSUX
O=C1O[CH]2[CH2][CH2][CH]1[CH]1[CH2]O[CH2][CH]21  O=C1OC2CCC1C1COCC21  HIXJEE
[CH3]C1([CH3])O[CH]2[CH]([OH])[CH2]O[CH](O[CH2]c3[cH][cH][cH][cH][cH]3)[CH]2O1  CC1(C)OC2C(O)COC(OCc3ccccc3)C2O1  HIYRUD
O=N(=O)[N-][n+]1n[nH][cH][cH]1  O=N(=O)[N-][N+]1=NNC=C1  HIZTEQ
[CH3]C1=[CH]C(=O)O[CH]2[CH2][CH2][CH2][CH2]C12C(=O)OC([CH3])([CH3])[CH3]  CC1=CC(=O)OC2CCCCC12C(=O)OC(C)(C)C  HOCSOI
O=N(=O)c1n[cH][cH]n1[CH2][CH2]O[CH2][CH2]O[CH2][CH2]n1[cH][cH]nc1N(=O)=O  O=N(=O)C1=NC=CN1CCOCCOCCN1C=CN=C1N(=O)=O  HODWAZ
[CH3]C(=O)c1[cH][cH]c([cH][cH]1)C#CC#Cc1[cH][cH]c([cH][cH]1)C(=O)[CH3]  CC(=O)c1ccc(cc1)C#CC#Cc1ccc(cc1)C(C)=O  HOJVIM
[CH2]1[CH2]c2[cH][cH][cH][cH]c2[CH]2N([CH2]c3[cH][cH][cH][cH][cH]3)[CH2]c3[cH][cH][cH][cH]c3N12  C1Cc2ccccc2C2N(Cc3ccccc3)Cc3ccccc3N12  HOPNIK
[OH]C(=O)c1[cH][cH][cH][cH]c1C(=O)O[CH2][CH2][CH2][CH2]OC(=O)c1[cH][cH][cH][cH]c1C(=O)[OH]  OC(=O)c1ccccc1C(=O)OCCCCOC(=O)c1ccccc1C(O)=O  HOQXER
[NH2]n1[cH][cH][cH]n1  NN1C=CC=N1  HOYMAJ
[CH3]c1nc([NH2])nc2[cH][cH][cH][cH]c12  Cc1nc(N)nc2ccccc12  HUCBIR
